Firm,Region,Propery and construction,Social housing,Child law,Court of protection,Education,Debt recovery,Planning and environmenty,Licensing,Pensions,Litigation/dispute resolution,Intellectual property, Employment,Healthcare,PrimaryCare
Muckle LLP,GL,x,x,,,x,x,,,,x,x,x,,
Plexus Law,GL,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,GL,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,GL,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,GL,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,GL,,,,,,x,,,,x,,x,,
Trowers & Hamlins LLP,GL,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,GL,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,GL,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,SEE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,SEE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,SEE,x,,,,,,x,,,x,x,x,,
Birketts LLP,SEE,x,x,,,x,x,x,x,,x,x,x,,
Blake Morgan LLP,SEE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,SEE,,,,,,,,,,,,,,
Browne Jacobson LLP,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,SEE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,SEE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,SEE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,SEE,,,,,,,,,,,x,,,
Clyde & Co LLP,SEE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,SEE,x,,,,,,x,,,,,,,
Dolmans Solicitors,SEE,,,,,,,,,,,,,,
EMW Law LLP,SEE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),SEE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,SEE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,SEE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,SEE,x,,x,x,x,,x,,,x,,x,x,
Hempsons,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,SEE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,SEE,,,,,,,,,,x,,,,
