uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854211,,,,,RG02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,KNIGHTSTONE COURT,,,,,,,,,,,,,,,THE RIDINGS,,,,,,,,,,,PORTSMOUTH,,,,,PO2 0UU,,,,,,,,,,,
10024854213,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABBEYDORE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4AH,,,,,,,,,,,
10024854215,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAFFINS ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6BQ,,,,,,,,,,,
10024854217,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDSWORTH CLOSE,,,,,,,,,,,PORTSMOUTH,,,,,PO6 1QR,,,,,,,,,,,
10024854219,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAFTESBURY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 3JP,,,,,,,,,,,
10024854221,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,EVESHAM WALK,,,,,,,,,,,LONDON,,,,,SW9 6PE,,,,,,,,,,,
10024854223,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAFEKING ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 9BG,,,,,,,,,,,
10024854225,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERRIVALE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 0TJ,,,,,,,,,,,
10024854227,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BELL ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO6 3NX,,,,,,,,,,,
10024854229,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUREFIELD ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 1PB,,,,,,,,,,,
