uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854489,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKS AVENUE,,,,,,,,,,,MAYBOLE,,,,,KA19 7ED,,,,,,,,,,,
10024854491,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLLENAN AVENUE,,,,,,,,,,,LOANS,,,,,KA10 7HE,,,,,,,,,,,
10024854493,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUNDONALD ROAD,,,,,,,,,,,TROON,,,,,KA10 6NP,,,,,,,,,,,
10024854495,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULLARTON ROAD,,,,,,,,,,,PRESTWICK,,,,,KA9 2BX,,,,,,,,,,,
10024854497,,,,,CR10,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH STREET,,,,,,,,,,,AYR,,,,,KA7 1RB,,,,,,,,,,,
10024854499,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH HARBOUR STREET,,,,,,,,,,,AYR,,,,,KA7 1JB,,,,,,,,,,,
10024854501,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLACKFORD CRESCENT,,,,,,,,,,,PRESTWICK,,,,,KA9 2LZ,,,,,,,,,,,
10024854503,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUKE TERRACE,,,,,,,,,,,AYR,,,,,KA8 8JA,,,,,,,,,,,
10024854505,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GORDON TERRACE,,,,,,,,,,,AYR,,,,,KA8 0EF,,,,,,,,,,,
10024854507,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILSON STREET,,,,,,,,,,,AYR,,,,,KA8 9LS,,,,,,,,,,,
10024854509,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENKILL ROAD,,,,,,,,,,,GIRVAN,,,,,KA26 9EG,,,,,,,,,,,
10024854511,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAYHILL,,,,,,,,,,,AYR,,,,,KA8 0SL,,,,,,,,,,,
10024854513,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROBERTSON CRESCENT,,,,,,,,,,,AYR,,,,,KA8 0SN,,,,,,,,,,,
10024854515,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,HILLHEAD,,,,,,,,,,,COYLTON,,,,,KA6 6JT,,,,,,,,,,,
10024854517,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KILNFORD CRESCENT,,,,,,,,,,,DUNDONALD,,,,,KA2 9DN,,,,,,,,,,,
10024854519,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOSTER CRESCENT,,,,,,,,,,,TROON,,,,,KA10 7FE,,,,,,,,,,,
10024854521,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GALLOWHILL AVENUE,,,,,,,,,,,MAYBOLE,,,,,KA19 8BX,,,,,,,,,,,
10024854523,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDEN STREET,,,,,,,,,,,TARBOLTON,,,,,KA5 5QY,,,,,,,,,,,
10024854525,,,,,CR,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLOWAY PLACE,,,,,,,,,,,AYR,,,,,KA7 2AA,,,,,,,,,,,
10024854527,,,,,CR08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,UNIT 3,,,,,,,,,,,,,,,BACK PEEBLES STREET,,,,,,,,,,,AYR,,,,,KA8 8DT,,,,,,,,,,,
10024854529,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROOMFIELD GARDEN,,,,,,,,,,,AYR,,,,,KA7 2SR,,,,,,,,,,,
10024854531,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROBSLAND AVENUE,,,,,,,,,,,AYR,,,,,KA7 2RW,,,,,,,,,,,
10024854533,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,KYLE STREET,,,,,,,,,,,PRESTWICK,,,,,KA9 1PQ,,,,,,,,,,,
10024854535,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HIGH ST MURRAY,,,,,,,,,,,,,,,B7024 FROM HIGH MAYBOLE ROAD AYR TO ALLOWAY ROAD MAYBOLE,,,,,,,,,,,AYR,,,,,KA19 8DQ,,,,,,,,,,,
10024854537,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQUIRREL WALK,,,,,,,,,,,SYMINGTON,,,,,KA1 5SL,,,,,,,,,,,
10024854539,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRAIGIE WAY,,,,,,,,,,,AYR,,,,,KA8 0HG,,,,,,,,,,,
10024854541,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH SHORE ROAD,,,,,,,,,,,TROON,,,,,KA10 6QT,,,,,,,,,,,
10024854543,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LODGE ROAD,,,,,,,,,,,TURNBERRY,,,,,KA26 9LX,,,,,,,,,,,
10024854545,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSBIE COURT,,,,,,,,,,,TROON,,,,,KA10 6ES,,,,,,,,,,,
10024854547,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEVERON ROAD,,,,,,,,,,,TROON,,,,,KA10 7EG,,,,,,,,,,,
10024854549,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULLARTON CRESCENT,,,,,,,,,,,TROON,,,,,KA10 6LL,,,,,,,,,,,
10024854551,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENFIELD AVENUE,,,,,,,,,,,AYR,,,,,KA7 4NW,,,,,,,,,,,
10024854553,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLENDALE CRESCENT,,,,,,,,,,,AYR,,,,,KA7 3SE,,,,,,,,,,,
10024854555,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALEDONIA ROAD,,,,,,,,,,,AYR,,,,,KA7 3HU,,,,,,,,,,,
10024854557,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REEDLOCH DRIVE,,,,,,,,,,,TROON,,,,,KA10 6UU,,,,,,,,,,,
10024854559,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NURSERY HALL,,,,,,,,,,,AYR,,,,,KA8 0LN,,,,,,,,,,,
10024854561,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BELVIDERE TERRACE,,,,,,,,,,,AYR,,,,,KA8 8JB,,,,,,,,,,,
10024854563,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUNLOP TERRACE,,,,,,,,,,,MAYBOLE,,,,,KA19 7AP,,,,,,,,,,,
10024854565,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIRKWYND,,,,,,,,,,,MAYBOLE,,,,,KA19 7AE,,,,,,,,,,,
10024854567,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAM'S BRIG,,,,,,,,,,,AYR,,,,,KA8 8DF,,,,,,,,,,,
10024854569,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANGEMUIR COURT,,,,,,,,,,,PRESTWICK,,,,,KA9 1GA,,,,,,,,,,,
10024854571,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLOAN AVENUE,,,,,,,,,,,MOSSBLOWN,,,,,KA6 5DH,,,,,,,,,,,
10024854573,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE LOANING,,,,,,,,,,,AYR,,,,,KA7 4QL,,,,,,,,,,,
10024854575,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PIERHILL COTTAGE,,,,,,,,,,,,,,,U91 FROM B730 JUNCTION NEAR STAIR TO B744 JUNCTION NEAR COMMONSIDE,,,,,,,,,,,ANNBANK,,,,,KA6 5AW,,,,,,,,,,,
10024854577,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANGLANDS DRIVE,,,,,,,,,,,TARBOLTON,,,,,KA5 5QR,,,,,,,,,,,
10024854579,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWHILL ROAD,,,,,,,,,,,GIRVAN,,,,,KA26 0BT,,,,,,,,,,,
10024854581,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VICARTON STREET,,,,,,,,,,,GIRVAN,,,,,KA26 9HF,,,,,,,,,,,
10024854583,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPALLANDER ROAD,,,,,,,,,,,TROON,,,,,KA10 7JY,,,,,,,,,,,
10024854585,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,DOUGHTY FARM,,,,,,,,,,,,,,,U27 FROM B741 JUNCTION AT CLOYNTIE TO U66 JUNCTION AT SOUTH BALLOCH,,,,,,,,,,,MAYBOLE,,,,,KA26 9UA,,,,,,,,,,,
10024854587,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN STREET,,,,,,,,,,,PRESTWICK,,,,,KA9 1PB,,,,,,,,,,,
10024854589,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCHARD AVENUE,,,,,,,,,,,AYR,,,,,KA7 3EH,,,,,,,,,,,
10024854591,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIDDISON PLACE,,,,,,,,,,,PRESTWICK,,,,,KA9 2TJ,,,,,,,,,,,
10024854593,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHILIP SQUARE,,,,,,,,,,,AYR,,,,,KA8 8EL,,,,,,,,,,,
10024854595,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESTWICK ROAD,,,,,,,,,,,AYR,,,,,KA8 8NP,,,,,,,,,,,
10024854597,,,,,CA01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,THREE THORNS FARM,,,,,,,,,,,,,,,U68 FROM B741 JUNCTION SOUTH VIA THREEHORNS TO U43 JUNCTION AT DYKE,,,,,,,,,,,STRAITON,,,,,KA19 7QR,,,,,,,,,,,
10024854599,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOONVALE DRIVE,,,,,,,,,,,AYR,,,,,KA6 6EF,,,,,,,,,,,
10024854601,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE AVENUE,,,,,,,,,,,GIRVAN,,,,,KA26 9DT,,,,,,,,,,,
10024854603,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORSEHILL CRESCENT,,,,,,,,,,,COYLTON,,,,,KA6 6LA,,,,,,,,,,,
10024854605,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCCOLGAN PLACE,,,,,,,,,,,AYR,,,,,KA8 9PU,,,,,,,,,,,
10024854607,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TROWEIR ROAD,,,,,,,,,,,GIRVAN,,,,,KA26 9EA,,,,,,,,,,,
10024854609,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,LUGAR PLACE,,,,,,,,,,,TROON,,,,,KA10 7EA,,,,,,,,,,,
10024854611,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,HOUSING FOOTPATH FROM REAR OF 30 KINCAIDSTON DRIVE TO REAR OF 34 GORSE PARK,,,,,,,,,,,AYR,,,,,KA7 3XW,,,,,,,,,,,
10024854613,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,WEST CRESCENT,,,,,,,,,,,TROON,,,,,KA10 7BL,,,,,,,,,,,
10024854615,,,,,R,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTLAND STREET,,,,,,,,,,,TROON,,,,,KA10 6EA,,,,,,,,,,,
10024854617,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEEBLES COURT,,,,,,,,,,,AYR,,,,,KA8 8BF,,,,,,,,,,,
10024854619,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHESTNUT DRIVE,,,,,,,,,,,GIRVAN,,,,,KA26 0DA,,,,,,,,,,,
10024854621,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINDEN AVENUE,,,,,,,,,,,GIRVAN,,,,,KA26 0BU,,,,,,,,,,,
10024854623,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEORGE PLACE,,,,,,,,,,,AYR,,,,,KA7 4NZ,,,,,,,,,,,
10024854625,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,FOOTPATH FROM SOUTH OF 32 SPRINGFIELD ROAD TO NORTH EAST OF 38 SPRINGFIELD ROAD,,,,,,,,,,,TARBOLTON,,,,,KA5 5QX,,,,,,,,,,,
10024854627,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,HOUSING FOOTPATH FROM EAST OF 27 BLACKFORD CRESCENT TO SOUTH OF 29 BLACKFORD CRESCENT,,,,,,,,,,,PRESTWICK,,,,,KA9 2LZ,,,,,,,,,,,
10024854629,,,,,RD01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,CROFTHEAD CARAVAN PARK,,,,,,,,,,,,,,,C74 FROM B742 NORTH EAST OF BOWMANSTON - A70 AT OLD TOLL,,,,,,,,,,,AYR,,,,,KA6 6EN,,,,,,,,,,,
10024854631,,,,,CH03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,MALIN COURT,,,,,,,,,,,,,,,TURNBERRY ROAD,,,,,,,,,,,MAIDENS,,,,,KA26 9PB,,,,,,,,,,,
10024854633,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIRKOSWALD ROAD,,,,,,,,,,,MAYBOLE,,,,,KA19 7DX,,,,,,,,,,,
10024854635,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENFIELD AVENUE,,,,,,,,,,,AYR,,,,,KA7 4NW,,,,,,,,,,,
10024854637,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVER STREET,,,,,,,,,,,AYR,,,,,KA8 0AX,,,,,,,,,,,
10024854639,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEVEN ROAD,,,,,,,,,,,TROON,,,,,KA10 7DX,,,,,,,,,,,
10024854641,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEORGE SQUARE,,,,,,,,,,,AYR,,,,,KA8 0AG,,,,,,,,,,,
10024854643,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARYFIELD PLACE,,,,,,,,,,,AYR,,,,,KA8 9DH,,,,,,,,,,,
10024854645,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ETTRICK PLACE,,,,,,,,,,,AYR,,,,,KA8 9HH,,,,,,,,,,,
10024854647,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HILLHOUSE HOUSE,,,,,,,,,,,,,,,U78 FROM A759 JUNCTION AT LAIGH HILLHOUSE TO JUNCTION WITH ROAD LEADING TO CHAPELHILL COTTAGES,,,,,,,,,,,TROON,,,,,KA10 7HU,,,,,,,,,,,
10024854649,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLACKFRIARS WALK,,,,,,,,,,,AYR,,,,,KA7 1TT,,,,,,,,,,,
10024854651,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDINER STREET,,,,,,,,,,,PRESTWICK,,,,,KA9 1JY,,,,,,,,,,,
10024854653,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAUNTERNE ROAD,,,,,,,,,,,PRESTWICK,,,,,KA9 2JQ,,,,,,,,,,,
10024854655,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GORDON TERRACE,,,,,,,,,,,AYR,,,,,KA8 0EX,,,,,,,,,,,
10024854657,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,KYLE COURT,,,,,,,,,,,,,,,SMITH STREET,,,,,,,,,,,AYR,,,,,KA7 3AW,,,,,,,,,,,
10024854659,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANNBANK ROAD,,,,,,,,,,,MOSSBLOWN,,,,,KA6 5DZ,,,,,,,,,,,
10024854661,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST BRIDES WAY,,,,,,,,,,,COYLTON,,,,,KA6 6QG,,,,,,,,,,,
10024854663,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANGILLAN COURT,,,,,,,,,,,PRESTWICK,,,,,KA9 2EN,,,,,,,,,,,
10024854665,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUCHINCRUIVE AVENUE,,,,,,,,,,,PRESTWICK,,,,,KA9 2DT,,,,,,,,,,,
10024854667,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCADAM COURT,,,,,,,,,,,PRESTWICK,,,,,KA9 2NB,,,,,,,,,,,
10024854669,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,MACKAILSTON BUNGALOW,,,,,,,,,,,,,,,KING STREET,,,,,,,,,,,CROSSHILL,,,,,KA19 7PT,,,,,,,,,,,
10024854671,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,FOOTPATH FROM SOUTH OF 31 MOUNT AVENUE TO WEST OF 1 LAWHILL ROAD,,,,,,,,,,,SYMINGTON,,,,,KA1 5RU,,,,,,,,,,,
10024854673,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,MCCRAE COURT,,,,,,,,,,,MAYBOLE,,,,,KA19 8BU,,,,,,,,,,,
10024854675,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOURTREEHALL,,,,,,,,,,,GIRVAN,,,,,KA26 9EN,,,,,,,,,,,
10024854677,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POPPY BANK TERRACE,,,,,,,,,,,AYR,,,,,KA7 3ZA,,,,,,,,,,,
10024854679,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCCALLS AVENUE,,,,,,,,,,,AYR,,,,,KA8 9AA,,,,,,,,,,,
10024854681,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,ACCESS ROAD TO QUEEN MARGARET ACADEMY,,,,,,,,,,,AYR,,,,,KA7 3TF,,,,,,,,,,,
10024854683,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,AKESMORE LANE,,,,,,,,,,,BIDDULPH,,,,,ST8 6RT,,,,,,,,,,,
10024854684,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,THE GOODS SHED,,,,,,,,,,,,,,,NEWPORT ROAD,,,,,,,,,,,STAFFORD,,,,,ST16 1AA,,,,,,,,,,,
10024854685,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STRAFFORD DELIVERY OFFICE,,,,,,,,,,,,,,,NEWPORT ROAD,,,,,,,,,,,STAFFORD,,,,,ST16 1AA,,,,,,,,,,,
10024854686,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Sidings Way,,,,,,,,,,,Dunstable,,,,,LU6 1GQ,,,,,,,,,,,
